DEBUG 2025-03-07 06:11:39,939 ecs_app 98 views 68856 13035925504 🟢 FAISS Match: account_name -> 'user.name' (Similarity: 0.00)
DEBUG 2025-03-07 06:11:39,939 ecs_app 98 views 68856 13035925504 🟢 FAISS Match: account_name -> 'user.name' (Similarity: 0.00)
INFO 2025-03-07 06:11:39,939 ecs_app 104 views 68856 13035925504 ✅ Found 3 similar mappings for 'severity'.
INFO 2025-03-07 06:11:39,939 ecs_app 111 views 68856 13035925504 🤖 Calling ChatGPT for ECS mapping of: severity
INFO 2025-03-07 06:11:41,271 ecs_app 143 views 68856 13035925504 📢 ChatGPT Response: 'event.severity'
WARNING 2025-03-07 06:11:41,317 ecs_app 157 views 68856 13035925504 ⚠️ Skipping invalid ECS mapping: severity -> 'event.severity'
INFO 2025-03-07 06:11:41,317 ecs_app 197 views 68856 13035925504 📢 ChatGPT-generated mapping stored: severity -> 'event.severity'
INFO 2025-03-07 06:12:01,333 ecs_app 173 views 68856 13035925504 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 06:12:01,334 ecs_app 178 views 68856 13035925504 🔍 Processing log field: account_name
DEBUG 2025-03-07 06:12:01,334 ecs_app 37 views 68856 13035925504 🔍 Checking for stored mapping: account_name
INFO 2025-03-07 06:12:01,338 ecs_app 40 views 68856 13035925504 ✅ Found stored mapping: account_name -> 'user.name'
DEBUG 2025-03-07 06:12:01,338 ecs_app 178 views 68856 13035925504 🔍 Processing log field: geo_ip
DEBUG 2025-03-07 06:12:01,338 ecs_app 37 views 68856 13035925504 🔍 Checking for stored mapping: geo_ip
INFO 2025-03-07 06:12:01,339 ecs_app 42 views 68856 13035925504 ❌ No stored mapping found for: geo_ip
INFO 2025-03-07 06:12:01,339 ecs_app 75 views 68856 13035925504 🔍 Searching for similar ECS mappings for: geo_ip
DEBUG 2025-03-07 06:12:01,339 ecs_app 68 views 68856 13035925504 📡 Retrieving FAISS index...
INFO 2025-03-07 06:12:01,339 ecs_app 48 views 68856 13035925504 🔄 Initializing FAISS index...
DEBUG 2025-03-07 06:12:01,339 ecs_app 27 views 68856 13035925504 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 06:12:01,340 ecs_app 30 views 68856 13035925504 📋 Retrieved 1 mappings from the database.
